Country or region,Region,Score
Finland,Western Europe,7.769
Denmark,Western Europe,7.6
Norway,Western Europe,7.554
Iceland,Western Europe,7.494
Netherlands,Western Europe,7.488
Switzerland,Western Europe,7.48
Sweden,Western Europe,7.343
New Zealand,Australia and New Zealand,7.307
Canada,North America,7.278
Austria,Western Europe,7.246
Australia,Australia and New Zealand,7.228
Costa Rica,Latin America and Caribbean,7.167
Israel,Middle East and Northern Africa,7.139
Luxembourg,Western Europe,7.09
United Kingdom,Western Europe,7.054
Ireland,Western Europe,7.021
Germany,Western Europe,6.985
Belgium,Western Europe,6.923
United States,North America,6.892
Czech Republic,Central and Eastern Europe,6.852
United Arab Emirates,Middle East and Northern Africa,6.825
Malta,Western Europe,6.726
Mexico,Latin America and Caribbean,6.595
France,Western Europe,6.592
Taiwan,Eastern Asia,6.446
Chile,Latin America and Caribbean,6.444
Guatemala,Latin America and Caribbean,6.436
Saudi Arabia,Middle East and Northern Africa,6.375
Qatar,Middle East and Northern Africa,6.374
Spain,Western Europe,6.354
Panama,Latin America and Caribbean,6.321
Brazil,Latin America and Caribbean,6.3
Uruguay,Latin America and Caribbean,6.293
Singapore,Southeastern Asia,6.262
El Salvador,Latin America and Caribbean,6.253
Italy,Western Europe,6.223
Bahrain,Middle East and Northern Africa,6.199
Slovakia,Central and Eastern Europe,6.198
Trinidad & Tobago,Latin America and Caribbean,6.192
Poland,Central and Eastern Europe,6.182
Uzbekistan,Central and Eastern Europe,6.174
Lithuania,Central and Eastern Europe,6.149
Colombia,Latin America and Caribbean,6.125
Slovenia,Central and Eastern Europe,6.118
Nicaragua,Latin America and Caribbean,6.105
Kosovo,Central and Eastern Europe,6.1
Argentina,Latin America and Caribbean,6.086
Romania,Central and Eastern Europe,6.07
Cyprus,Western Europe,6.046
Ecuador,Latin America and Caribbean,6.028
Kuwait,Middle East and Northern Africa,6.021
Thailand,Southeastern Asia,6.008
Latvia,Central and Eastern Europe,5.94
South Korea,Eastern Asia,5.895
Estonia,Central and Eastern Europe,5.893
Jamaica,Latin America and Caribbean,5.89
Mauritius,Sub-Saharan Africa,5.888
Japan,Eastern Asia,5.886
Honduras,Latin America and Caribbean,5.86
Kazakhstan,Central and Eastern Europe,5.809
Bolivia,Latin America and Caribbean,5.779
Hungary,Central and Eastern Europe,5.758
Paraguay,Latin America and Caribbean,5.743
North Cyprus,Western Europe,5.718
Peru,Latin America and Caribbean,5.697
Portugal,Western Europe,5.693
Pakistan,Southern Asia,5.653
Russia,Central and Eastern Europe,5.648
Philippines,Southeastern Asia,5.631
Serbia,Central and Eastern Europe,5.603
Moldova,Central and Eastern Europe,5.529
Libya,Middle East and Northern Africa,5.525
Montenegro,Central and Eastern Europe,5.523
Tajikistan,Central and Eastern Europe,5.467
Croatia,Central and Eastern Europe,5.432
Hong Kong,Eastern Asia,5.43
Dominican Republic,Latin America and Caribbean,5.425
Bosnia and Herzegovina,Central and Eastern Europe,5.386
Turkey,Middle East and Northern Africa,5.373
Malaysia,Southeastern Asia,5.339
Belarus,Central and Eastern Europe,5.323
Greece,Western Europe,5.287
Mongolia,Eastern Asia,5.285
North Macedonia,Central and Eastern Europe,5.274
Nigeria,Sub-Saharan Africa,5.265
Kyrgyzstan,Central and Eastern Europe,5.261
Turkmenistan,Central and Eastern Europe,5.247
Algeria,Middle East and Northern Africa,5.211
Morocco,Middle East and Northern Africa,5.208
Azerbaijan,Central and Eastern Europe,5.208
Lebanon,Middle East and Northern Africa,5.197
Indonesia,Southeastern Asia,5.192
China,Eastern Asia,5.191
Vietnam,Southeastern Asia,5.175
Bhutan,Southern Asia,5.082
Cameroon,Sub-Saharan Africa,5.044
Bulgaria,Central and Eastern Europe,5.011
Ghana,Sub-Saharan Africa,4.996
Ivory Coast,Sub-Saharan Africa,4.944
Nepal,Southern Asia,4.913
Jordan,Middle East and Northern Africa,4.906
Benin,Sub-Saharan Africa,4.883
Congo (Brazzaville),Sub-Saharan Africa,4.812
Gabon,Sub-Saharan Africa,4.799
Laos,Southeastern Asia,4.796
South Africa,Sub-Saharan Africa,4.722
Albania,Central and Eastern Europe,4.719
Venezuela,Latin America and Caribbean,4.707
Cambodia,Southeastern Asia,4.7
Palestinian Territories,Middle East and Northern Africa,4.696
Senegal,Sub-Saharan Africa,4.681
Somalia,Sub-Saharan Africa,4.668
Namibia,Sub-Saharan Africa,4.639
Niger,Sub-Saharan Africa,4.628
Burkina Faso,Sub-Saharan Africa,4.587
Armenia,Central and Eastern Europe,4.559
Iran,Middle East and Northern Africa,4.548
Guinea,Sub-Saharan Africa,4.534
Georgia,Central and Eastern Europe,4.519
Gambia,Sub-Saharan Africa,4.516
Kenya,Sub-Saharan Africa,4.509
Mauritania,Sub-Saharan Africa,4.49
Mozambique,Sub-Saharan Africa,4.466
Tunisia,Middle East and Northern Africa,4.461
Bangladesh,Southern Asia,4.456
Iraq,Middle East and Northern Africa,4.437
Congo (Kinshasa),Sub-Saharan Africa,4.418
Mali,Sub-Saharan Africa,4.39
Sierra Leone,Sub-Saharan Africa,4.374
Sri Lanka,Southern Asia,4.366
Myanmar,Southeastern Asia,4.36
Chad,Sub-Saharan Africa,4.35
Ukraine,Central and Eastern Europe,4.332
Ethiopia,Sub-Saharan Africa,4.286
Swaziland,Sub-Saharan Africa,4.212
Uganda,Sub-Saharan Africa,4.189
Egypt,Middle East and Northern Africa,4.166
Zambia,Sub-Saharan Africa,4.107
Togo,Sub-Saharan Africa,4.085
India,Southern Asia,4.015
Liberia,Sub-Saharan Africa,3.975
Comoros,Sub-Saharan Africa,3.973
Madagascar,Sub-Saharan Africa,3.933
Lesotho,Sub-Saharan Africa,3.802
Burundi,Sub-Saharan Africa,3.775
Zimbabwe,Sub-Saharan Africa,3.663
Haiti,Latin America and Caribbean,3.597
Botswana,Sub-Saharan Africa,3.488
Syria,Middle East and Northern Africa,3.462
Malawi,Sub-Saharan Africa,3.41
Yemen,Middle East and Northern Africa,3.38
Rwanda,Sub-Saharan Africa,3.334
Tanzania,Sub-Saharan Africa,3.231
Afghanistan,Southern Asia,3.203
Central African Republic,Sub-Saharan Africa,3.083
South Sudan,Sub-Saharan Africa,2.853
